Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma
47,30,762146,37520,1201,4166,4161,4169,757,682
48,24,370518,115831,8555,14409,10814,4444,5432,5545
47,23,2088448,18220,17118,13306,25472,6438,2626,880
51,14,2298267,212273,10968,39434,53101,30161,14324,10675
50,29,2517377,77701,12625,17211,20297,8392,3027,4795
60,47,93479,14221,2652,7046,3595,2618,1082,275
57,38,1334333,459708,189623,16045,63525,72734,20050,2874
64,56,1434545,111232,36690,132742,120262,75532,33386,20944
64,54,2073707,251910,75752,20166,67949,29384,15371,17134
60,44,998301,362283,33236,83131,67512,22664,11983,17414
