Attention,Meditation,Delta,Theta,lowAlpha, highAlpha,lowBeta,highBeta,lowGamma,midGamma,Berry
41,43,1061987,27917,59460,28987,25565,9541,3681,2291,Berry
35,41,75449,14885,2120,7311,4427,1319,910,513,Berry
23,48,261144,176957,83123,110974,30226,8111,14681,9422,Berry
11,53,1316580,188611,45142,89838,54803,13083,4137,6220,Berry
4,29,267021,94369,3807,9451,6906,4489,1525,374,Berry
10,29,1241288,119426,55253,20033,22172,17666,14132,6970,Berry
26,21,574786,91694,34334,7767,11015,15550,19585,3951,Berry
34,7,417782,226120,34251,2526,18360,26417,13359,10502,Berry
40,26,192338,16620,2552,20484,7087,3303,2298,1928,Berry
35,21,521208,215170,26771,56265,26686,15989,11359,7420,Berry
